dep_date,rank_in_day,company_id,flight_number,scheduled_departure_airport_code,scheduled_arrival_airport_code,fds,fds_bucket
2025-08-01,1,OO,5272,ORD,MSN,97.4190279841423,High
2025-08-01,2,UA,1502,ORD,RDU,97.4190279841423,High
2025-08-01,3,OO,4778,ORD,FAR,93.66902858018877,High
2025-08-01,4,OO,5376,ORD,LEX,93.66902858018877,High
2025-08-01,5,YX,3716,ORD,CMH,93.66902858018877,High
2025-08-01,6,UA,1584,ORD,LAX,93.24835538864136,High
2025-08-01,7,G7,4425,ORD,GRR,91.0261332988739,High
2025-08-01,8,OO,5521,ORD,ATW,86.50119602680206,High
2025-08-01,9,OO,5135,ORD,MCW,85.03655046224594,High
2025-08-01,10,YX,3568,ORD,YYZ,81.36230707168579,High
2025-08-01,11,UA,374,ORD,MSP,81.36230707168579,High
2025-08-01,12,OO,5414,ORD,MEM,79.73893135786057,High
2025-08-01,13,YX,3536,ORD,YUL,79.08416911959648,High
2025-08-01,14,G7,4611,ORD,MDT,77.55639180541039,High
2025-08-01,15,UA,1801,ORD,DEN,77.11988314986229,High
2025-08-01,16,YX,3421,ORD,ROC,76.16750225424767,High
2025-08-01,17,OO,5790,ORD,CRW,74.79111105203629,High
2025-08-01,18,G7,4173,ORD,AVL,69.48744878172874,High
2025-08-01,19,OO,5131,ORD,CMX,69.29685696959496,High
2025-08-01,20,UA,1811,ORD,MSP,65.03264233469963,Medium
2025-08-01,21,G7,4530,ORD,SGF,65.03264233469963,Medium
2025-08-01,22,OO,5699,ORD,SAV,65.03264233469963,Medium
2025-08-01,23,OO,5534,ORD,ICT,62.17549964785576,Medium
2025-08-01,24,UA,970,ORD,FCO,62.17549964785576,Medium
2025-08-01,25,UA,972,ORD,BRU,62.17549964785576,Medium
2025-08-01,26,G7,4188,ORD,GSO,62.17549964785576,Medium
2025-08-01,27,YX,3663,ORD,BGR,62.17549964785576,Medium
2025-08-01,28,UA,307,ORD,COS,61.97708696126938,Medium
2025-08-01,29,UA,944,ORD,FRA,61.63202151656151,Medium
2025-08-01,30,UA,556,ORD,CLT,60.73916405439377,Medium
2025-08-01,31,UA,2133,ORD,EWR,60.73916405439377,Medium
2025-08-01,32,OO,5260,ORD,FSD,60.54075136780739,Medium
2025-08-01,33,YX,3525,ORD,YYZ,60.14627851545811,Medium
2025-08-01,34,UA,2389,ORD,RSW,58.70994292199612,Medium
2025-08-01,35,YX,3696,ORD,CVG,57.76297338306904,Medium
2025-08-01,36,OO,5292,ORD,MTY,55.95146045088768,Medium
2025-08-01,37,G7,4416,ORD,STL,28.0255725607276,Low
2025-08-01,38,YX,3402,ORD,YOW,22.058582678437237,Low
2025-08-01,39,OO,5964,ORD,CID,21.634151972830296,Low
2025-08-01,40,UA,1594,ORD,ABQ,20.20582221448421,Low
2025-08-01,41,OO,5526,ORD,ATW,20.20582221448421,Low
2025-08-01,42,OO,5420,ORD,MLI,20.03501486033201,Low
2025-08-01,43,UA,2361,ORD,LAX,19.79629136621952,Low
2025-08-01,44,UA,2652,ORD,RSW,19.014523550868034,Low
2025-08-01,45,OO,4636,ORD,SBN,18.832232244312763,Low
2025-08-01,46,OO,5610,ORD,CHO,18.590092845261097,Low
2025-08-01,47,UA,609,ORD,PHX,18.0097546428442,Low
2025-08-01,48,UA,2649,ORD,EWR,17.791438475251198,Low
2025-08-01,49,UA,1124,ORD,IAH,17.791438475251198,Low
2025-08-01,50,YX,3542,ORD,YUL,17.791438475251198,Low
2025-08-01,51,OO,5358,ORD,CAK,17.517757043242455,Low
2025-08-01,52,UA,1044,ORD,LAX,17.18286983668804,Low
2025-08-01,53,OO,5637,ORD,GRB,17.161763086915016,Low
2025-08-01,54,UA,929,ORD,LHR,17.14477576315403,Low
2025-08-01,55,UA,2099,ORD,IAH,16.363108716905117,Low
2025-08-01,56,UA,3,ORD,ZRH,16.363108716905117,Low
2025-08-01,57,OO,4766,ORD,OKC,16.363108716905117,Low
2025-08-01,58,UA,953,ORD,MUC,16.363108716905117,Low
2025-08-01,59,UA,909,ORD,AMS,16.363108716905117,Low
2025-08-01,60,OO,5833,ORD,DTW,16.304357536137104,Low
2025-08-01,61,UA,422,ORD,ATH,15.453222580254078,Low
2025-08-01,62,OO,5038,ORD,PLN,14.859098009765148,Low
2025-08-01,63,YX,3465,ORD,GSP,14.606290496885777,Low
2025-08-01,64,G7,4395,ORD,TVC,14.600872062146664,Low
2025-08-01,65,UA,2207,ORD,OMA,14.469551108777525,Low
2025-08-01,66,UA,2075,ORD,TPA,14.355454407632353,Low
2025-08-01,67,UA,1905,ORD,PIT,14.323804713785648,Low
2025-08-01,68,UA,219,ORD,HNL,14.27930947393179,Low
2025-08-01,69,YX,3708,ORD,BNA,14.1161791048944,Low
2025-08-01,70,UA,2684,ORD,FCA,13.735893182456492,Low
2025-08-01,71,OO,5045,ORD,RHI,13.458825834095478,Low
2025-08-01,72,UA,2243,ORD,RIC,13.45209488645196,Low
2025-08-01,73,UA,907,ORD,FRA,13.41433059424162,Low
2025-08-01,74,UA,987,ORD,CDG,13.17672091536224,Low
2025-08-01,75,G7,4600,ORD,XNA,13.051151856780052,Low
2025-08-01,76,UA,1655,ORD,DCA,13.042370649054646,Low
2025-08-01,77,UA,1643,ORD,SEA,12.695400416851044,Low
2025-08-01,78,UA,1146,ORD,MBJ,12.64142761938274,Low
2025-08-01,79,OO,5360,ORD,MBS,12.64142761938274,Low
2025-08-01,80,UA,1920,ORD,LAS,12.09803782403469,Low
2025-08-01,81,UA,291,ORD,BDL,11.652093939483166,Low
2025-08-01,82,YX,3601,ORD,YYZ,11.474317032843828,Low
2025-08-01,83,UA,288,ORD,SNN,11.414484260603786,Low
2025-08-01,84,UA,2427,ORD,CVG,11.280133994296191,Low
2025-08-01,85,OO,5668,ORD,MKE,11.257619597017763,Low
2025-08-01,86,UA,2677,ORD,IAD,11.059840535745025,Low
2025-08-01,87,UA,2488,ORD,LGA,10.872965632006526,Low
2025-08-01,88,OO,5225,ORD,MKE,10.649050958454607,Low
2025-08-01,89,UA,1660,ORD,SFO,10.404612869024277,Low
2025-08-01,90,UA,611,ORD,SFO,10.392640717327597,Low
2025-08-01,91,YX,3523,ORD,RIC,10.392640717327597,Low
2025-08-01,92,G7,4590,ORD,MDT,10.392640717327597,Low
2025-08-01,93,YX,3694,ORD,ROC,9.984966740012169,Low
2025-08-01,94,OO,5122,ORD,EAU,9.984966740012169,Low
2025-08-01,95,G7,4184,ORD,DAY,9.768919926136732,Low
2025-08-01,96,UA,1617,ORD,PHL,9.768919926136732,Low
2025-08-01,97,UA,1381,ORD,DCA,9.759821929037573,Low
2025-08-01,98,UA,2202,ORD,IAH,9.759821929037573,Low
2025-08-01,99,UA,2011,ORD,YVR,9.62921530008316,Low
2025-08-01,100,UA,2179,ORD,SFO,9.62921530008316,Low
2025-08-01,101,UA,293,ORD,LGA,9.60910189896822,Low
2025-08-01,102,UA,1010,ORD,DCA,9.575242502614856,Low
2025-08-01,103,YX,3655,ORD,PIT,9.575242502614856,Low
2025-08-01,104,OO,5230,ORD,CRW,9.575242502614856,Low
2025-08-01,105,G7,4390,ORD,CHA,9.458293346688151,Low
2025-08-01,106,OO,5375,ORD,GRB,9.352147951722143,Low
2025-08-01,107,G7,4529,ORD,SGF,9.352147951722143,Low
2025-08-01,108,UA,2144,ORD,YYZ,9.352147951722143,Low
2025-08-01,109,OO,5555,ORD,MKE,9.352147951722143,Low
2025-08-01,110,UA,1178,ORD,ORF,9.352147951722143,Low
2025-08-01,111,G7,4558,ORD,XNA,9.332034550607204,Low
2025-08-01,112,UA,1398,ORD,ATL,9.218727611005306,Low
2025-08-01,113,UA,2616,ORD,PDX,9.16756852529943,Low
2025-08-01,114,UA,1830,ORD,DSM,9.16756852529943,Low
2025-08-01,115,YX,3409,ORD,YOW,9.16756852529943,Low
2025-08-01,116,UA,2635,ORD,CLT,9.16756852529943,Low
2025-08-01,117,UA,580,ORD,PDX,9.16756852529943,Low
2025-08-01,118,UA,2417,ORD,SAN,9.16756852529943,Low
2025-08-01,119,UA,793,ORD,DFW,9.16756852529943,Low
2025-08-01,120,UA,1785,ORD,EWR,9.16756852529943,Low
2025-08-01,121,OO,5099,ORD,CIU,9.16569735854864,Low
2025-08-01,122,OO,5977,ORD,ICT,8.998963888734579,Low
2025-08-01,123,UA,2333,ORD,BWI,8.976283110678196,Low
2025-08-01,124,UA,1740,ORD,RSW,8.81105363368988,Low
2025-08-01,125,UA,359,ORD,MEX,8.81105363368988,Low
2025-08-01,126,UA,2138,ORD,LGA,8.81105363368988,Low
2025-08-01,127,OO,5100,ORD,DEC,8.69921576231718,Low
2025-08-01,128,OO,4718,ORD,DAY,8.585908822715282,Low
2025-08-01,129,UA,920,ORD,LHR,8.585908822715282,Low
2025-08-01,130,G7,4476,ORD,CAE,8.532878570258617,Low
2025-08-01,131,OO,4790,ORD,GRR,8.514636335894465,Low
2025-08-01,132,UA,1328,ORD,SMF,8.514636335894465,Low
2025-08-01,133,UA,758,ORD,EWR,8.514636335894465,Low
2025-08-01,134,UA,1363,ORD,LAX,8.514636335894465,Low
2025-08-01,135,YX,3433,ORD,CVG,8.514636335894465,Low
2025-08-01,136,UA,592,ORD,JAC,8.514636335894465,Low
2025-08-01,137,OO,5847,ORD,DSM,8.435643091797829,Low
2025-08-01,138,UA,1297,ORD,DFW,8.401329396292567,Low
2025-08-01,139,G7,4458,ORD,LIT,8.401329396292567,Low
2025-08-01,140,OO,5948,ORD,BNA,8.398528303951025,Low
2025-08-01,141,OO,5819,ORD,DLH,8.348299143835902,Low
2025-08-01,142,UA,600,ORD,LAS,8.348299143835902,Low
2025-08-01,143,UA,1776,ORD,PHL,8.21394887752831,Low
2025-08-01,144,OO,5821,ORD,MKE,8.178234845399857,Low
2025-08-01,145,UA,1006,ORD,LGA,8.178234845399857,Low
2025-08-01,146,UA,2182,ORD,PHL,8.158575743436813,Low
2025-08-01,147,UA,881,ORD,HND,8.158575743436813,Low
2025-08-01,148,OO,5448,ORD,FWA,8.158575743436813,Low
2025-08-01,149,UA,1657,ORD,LGA,8.125204592943192,Low
2025-08-01,150,UA,2683,ORD,SAN,7.993655418977141,Low
2025-08-01,151,UA,1872,ORD,MSP,7.993655418977141,Low
2025-08-01,152,OO,5915,ORD,LNK,7.993655418977141,Low
2025-08-01,153,OO,5250,ORD,BNA,7.993655418977141,Low
2025-08-01,154,UA,275,ORD,RAP,7.940625166520476,Low
